Timestamp,Consumption
2020-01-01T11:30:00Z,33.59
2020-01-01T12:00:00Z,32.66
2020-01-01T12:30:00Z,34.16
2020-01-02T15:00:00Z,20.92
2020-01-02T15:30:00Z,26.79
2020-01-02T18:30:00Z,19.12
2020-01-03T09:00:00Z,19.50
2020-01-03T09:30:00Z,29.00
2020-01-03T10:00:00Z,30.76
2020-01-04T21:00:00Z,22.52
2020-01-04T21:30:00Z,33.79
2020-01-05T06:00:00Z,31.55
2020-01-05T06:30:00Z,19.59
2020-01-05T21:30:00Z,24.72
2020-01-06T04:00:00Z,27.73
2020-01-06T04:30:00Z,33.26
2020-01-06T05:00:00Z,21.42
2020-01-07T20:00:00Z,17.20
2020-01-07T20:30:00Z,24.87
