Timestamp,Consumption
2020-01-01T00:00:00Z,10.33
2020-01-01T00:30:00Z,0.87
2020-01-01T01:00:00Z,6.97
2020-01-01T01:30:00Z,13.18
2020-01-01T02:00:00Z,10.60
2020-01-01T02:30:00Z,0.39
2020-01-01T03:00:00Z,5.70
2020-01-01T03:30:00Z,2.74
2020-01-01T04:00:00Z,7.76
2020-01-01T04:30:00Z,14.65
2020-01-01T05:00:00Z,13.12
2020-01-01T05:30:00Z,0.46
2020-01-01T06:00:00Z,6.25
2020-01-01T06:30:00Z,0.88
2020-01-01T07:00:00Z,1.12
2020-01-01T07:30:00Z,9.30
2020-01-01T08:00:00Z,10.30
2020-01-01T08:30:00Z,9.25
2020-01-01T09:00:00Z,7.12
2020-01-01T09:30:00Z,7.44
2020-01-01T10:00:00Z,10.98
2020-01-01T10:30:00Z,9.42
2020-01-01T11:00:00Z,13.04
2020-01-01T11:30:00Z,33.59
2020-01-01T12:00:00Z,32.66
2020-01-01T12:30:00Z,34.16
2020-01-01T13:00:00Z,7.03
2020-01-01T13:30:00Z,3.59
2020-01-01T14:00:00Z,6.81
2020-01-01T14:30:00Z,0.94
2020-01-01T15:00:00Z,3.58
2020-01-01T15:30:00Z,0.68
2020-01-01T16:00:00Z,3.16
2020-01-01T16:30:00Z,9.13
2020-01-01T17:00:00Z,10.73
2020-01-01T17:30:00Z,14.83
2020-01-01T18:00:00Z,4.41
2020-01-01T18:30:00Z,2.30
2020-01-01T19:00:00Z,4.16
2020-01-01T19:30:00Z,5.35
2020-01-01T20:00:00Z,10.27
2020-01-01T20:30:00Z,3.72
2020-01-01T21:00:00Z,11.19
2020-01-01T21:30:00Z,7.96
2020-01-01T22:00:00Z,13.98
2020-01-01T22:30:00Z,1.81
2020-01-01T23:00:00Z,1.25
2020-01-01T23:30:00Z,6.03
2020-01-02T00:00:00Z,6.98
2020-01-02T00:30:00Z,2.94
2020-01-02T01:00:00Z,6.74
2020-01-02T01:30:00Z,7.21
2020-01-02T02:00:00Z,1.89
2020-01-02T02:30:00Z,0.69
2020-01-02T03:00:00Z,10.25
2020-01-02T03:30:00Z,13.30
